qnum,orig_label,question,prompt,response,total,dem,ind,rep
38,16G,Sexual Assault Allegations — Donald Trump,"As far as you know, are any sexual assault allegations against the following person true?",Yes,51,81,45,24
38,16G,Sexual Assault Allegations — Donald Trump,"As far as you know, are any sexual assault allegations against the following person true?",No,25,9,22,46
38,16G,Sexual Assault Allegations — Donald Trump,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,25,10,33,31
38,16G,Sexual Assault Allegations — Donald Trump,"As far as you know, are any sexual assault allegations against the following person true?",Totals,101,100,100,101
39,16H,Sexual Assault Allegations — Hugh Hefner,"As far as you know, are any sexual assault allegations against the following person true?",Yes,46,49,38,50
39,16H,Sexual Assault Allegations — Hugh Hefner,"As far as you know, are any sexual assault allegations against the following person true?",No,11,14,8,11
39,16H,Sexual Assault Allegations — Hugh Hefner,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,43,37,53,39
39,16H,Sexual Assault Allegations — Hugh Hefner,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,99,100
40,16I,Sexual Assault Allegations — Woody Allen,"As far as you know, are any sexual assault allegations against the following person true?",Yes,44,50,39,45
40,16I,Sexual Assault Allegations — Woody Allen,"As far as you know, are any sexual assault allegations against the following person true?",No,11,15,8,10
40,16I,Sexual Assault Allegations — Woody Allen,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,45,35,53,45
40,16I,Sexual Assault Allegations — Woody Allen,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
41,16J,Sexual Assault Allegations — Prince Andrew,"As far as you know, are any sexual assault allegations against the following person true?",Yes,42,47,38,39
41,16J,Sexual Assault Allegations — Prince Andrew,"As far as you know, are any sexual assault allegations against the following person true?",No,10,12,6,13
41,16J,Sexual Assault Allegations — Prince Andrew,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,48,41,56,47
41,16J,Sexual Assault Allegations — Prince Andrew,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,99
42,16K,Sexual Assault Allegations — Michael Jackson,"As far as you know, are any sexual assault allegations against the following person true?",Yes,39,41,33,44
42,16K,Sexual Assault Allegations — Michael Jackson,"As far as you know, are any sexual assault allegations against the following person true?",No,22,21,23,21
42,16K,Sexual Assault Allegations — Michael Jackson,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,39,38,44,35
42,16K,Sexual Assault Allegations — Michael Jackson,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
43,16L,Sexual Assault Allegations — Mike Tyson,"As far as you know, are any sexual assault allegations against the following person true?",Yes,39,46,34,36
43,16L,Sexual Assault Allegations — Mike Tyson,"As far as you know, are any sexual assault allegations against the following person true?",No,13,12,13,15
43,16L,Sexual Assault Allegations — Mike Tyson,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,48,42,53,49
43,16L,Sexual Assault Allegations — Mike Tyson,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
44,16M,Sexual Assault Allegations — Kevin Spacey,"As far as you know, are any sexual assault allegations against the following person true?",Yes,37,43,31,37
44,16M,Sexual Assault Allegations — Kevin Spacey,"As far as you know, are any sexual assault allegations against the following person true?",No,11,11,10,12
44,16M,Sexual Assault Allegations — Kevin Spacey,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,52,46,58,51
44,16M,Sexual Assault Allegations — Kevin Spacey,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,99,100
45,16N,Sexual Assault Allegations — Matt Lauer,"As far as you know, are any sexual assault allegations against the following person true?",Yes,33,34,25,39
45,16N,Sexual Assault Allegations — Matt Lauer,"As far as you know, are any sexual assault allegations against the following person true?",No,8,10,7,8
45,16N,Sexual Assault Allegations — Matt Lauer,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,59,55,68,53
45,16N,Sexual Assault Allegations — Matt Lauer,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,99,100,100
46,16O,Sexual Assault Allegations — Marilyn Manson,"As far as you know, are any sexual assault allegations against the following person true?",Yes,27,34,22,25
46,16O,Sexual Assault Allegations — Marilyn Manson,"As far as you know, are any sexual assault allegations against the following person true?",No,11,8,12,13
46,16O,Sexual Assault Allegations — Marilyn Manson,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,62,58,66,62
46,16O,Sexual Assault Allegations — Marilyn Manson,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
47,16P,Sexual Assault Allegations — Andrew Tate,"As far as you know, are any sexual assault allegations against the following person true?",Yes,26,37,23,18
47,16P,Sexual Assault Allegations — Andrew Tate,"As far as you know, are any sexual assault allegations against the following person true?",No,10,12,8,10
47,16P,Sexual Assault Allegations — Andrew Tate,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,64,51,69,72
47,16P,Sexual Assault Allegations — Andrew Tate,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
48,16Q,Sexual Assault Allegations — Russell Brand,"As far as you know, are any sexual assault allegations against the following person true?",Yes,25,36,22,15
48,16Q,Sexual Assault Allegations — Russell Brand,"As far as you know, are any sexual assault allegations against the following person true?",No,12,8,8,20
48,16Q,Sexual Assault Allegations — Russell Brand,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,64,56,69,65
48,16Q,Sexual Assault Allegations — Russell Brand,"As far as you know, are any sexual assault allegations against the following person true?",Totals,101,100,99,100
49,16R,Sexual Assault Allegations — Brett Kavanaugh,"As far as you know, are any sexual assault allegations against the following person true?",Yes,24,42,17,12
49,16R,Sexual Assault Allegations — Brett Kavanaugh,"As far as you know, are any sexual assault allegations against the following person true?",No,21,9,18,38
49,16R,Sexual Assault Allegations — Brett Kavanaugh,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,55,49,66,50
49,16R,Sexual Assault Allegations — Brett Kavanaugh,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,101,100
50,16S,Sexual Assault Allegations — Joe Biden,"As far as you know, are any sexual assault allegations against the following person true?",Yes,24,8,19,45
50,16S,Sexual Assault Allegations — Joe Biden,"As far as you know, are any sexual assault allegations against the following person true?",No,37,62,31,17
50,16S,Sexual Assault Allegations — Joe Biden,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,39,30,50,38
50,16S,Sexual Assault Allegations — Joe Biden,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
51,16T,Sexual Assault Allegations — Vince McMahon,"As far as you know, are any sexual assault allegations against the following person true?",Yes,24,30,22,19
51,16T,Sexual Assault Allegations — Vince McMahon,"As far as you know, are any sexual assault allegations against the following person true?",No,9,6,7,13
51,16T,Sexual Assault Allegations — Vince McMahon,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,68,64,71,68
51,16T,Sexual Assault Allegations — Vince McMahon,"As far as you know, are any sexual assault allegations against the following person true?",Totals,101,100,100,100
52,16U,Sexual Assault Allegations — Conor McGregor,"As far as you know, are any sexual assault allegations against the following person true?",Yes,21,29,18,16
52,16U,Sexual Assault Allegations — Conor McGregor,"As far as you know, are any sexual assault allegations against the following person true?",No,10,7,9,14
52,16U,Sexual Assault Allegations — Conor McGregor,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,69,64,73,70
52,16U,Sexual Assault Allegations — Conor McGregor,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
53,16V,Sexual Assault Allegations — Kobe Bryant,"As far as you know, are any sexual assault allegations against the following person true?",Yes,21,23,17,22
53,16V,Sexual Assault Allegations — Kobe Bryant,"As far as you know, are any sexual assault allegations against the following person true?",No,24,24,22,28
53,16V,Sexual Assault Allegations — Kobe Bryant,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,55,53,61,50
53,16V,Sexual Assault Allegations — Kobe Bryant,"As far as you know, are any sexual assault allegations against the following person true?",Totals,100,100,100,100
54,16W,Sexual Assault Allegations — Johnny Depp,"As far as you know, are any sexual assault allegations against the following person true?",Yes,16,20,11,17
54,16W,Sexual Assault Allegations — Johnny Depp,"As far as you know, are any sexual assault allegations against the following person true?",No,35,29,36,39
54,16W,Sexual Assault Allegations — Johnny Depp,"As far as you know, are any sexual assault allegations against the following person true?",Not sure,50,51,53,44
54,16W,Sexual Assault Allegations — Johnny Depp,"As far as you know, are any sexual assault allegations against the following person true?",Totals,101,100,100,100
55,17A,Sexual Assault Acts — Touching someone’s genitals without their consent,Do you think that the following acts are or are not sexual assault?,Sexual assault,96,95,96,95
55,17A,Sexual Assault Acts — Touching someone’s genitals without their consent,Do you think that the following acts are or are not sexual assault?,Not sexual assault,2,2,1,2
55,17A,Sexual Assault Acts — Touching someone’s genitals without their consent,Do you think that the following acts are or are not sexual assault?,Not sure,3,3,3,3
55,17A,Sexual Assault Acts — Touching someone’s genitals without their consent,Do you think that the following acts are or are not sexual assault?,Totals,101,100,100,100
56,17B,Sexual Assault Acts — Kissing someone without their consent,Do you think that the following acts are or are not sexual assault?,Sexual assault,67,73,67,61
56,17B,Sexual Assault Acts — Kissing someone without their consent,Do you think that the following acts are or are not sexual assault?,Not sexual assault,19,14,16,27
56,17B,Sexual Assault Acts — Kissing someone without their consent,Do you think that the following acts are or are not sexual assault?,Not sure,14,13,17,12
56,17B,Sexual Assault Acts — Kissing someone without their consent,Do you think that the following acts are or are not sexual assault?,Totals,100,100,100,100
57,17C,Sexual Assault Acts — Touching someone’s legs or arms without their consent,Do you think that the following acts are or are not sexual assault?,Sexual assault,34,45,29,28
57,17C,Sexual Assault Acts — Touching someone’s legs or arms without their consent,Do you think that the following acts are or are not sexual assault?,Not sexual assault,41,33,44,48
57,17C,Sexual Assault Acts — Touching someone’s legs or arms without their consent,Do you think that the following acts are or are not sexual assault?,Not sure,24,22,28,23
57,17C,Sexual Assault Acts — Touching someone’s legs or arms without their consent,Do you think that the following acts are or are not sexual assault?,Totals,99,100,101,99
58,17D,Sexual Assault Acts — Touching someone’s face without their consent,Do you think that the following acts are or are not sexual assault?,Sexual assault,18,23,16,15
58,17D,Sexual Assault Acts — Touching someone’s face without their consent,Do you think that the following acts are or are not sexual assault?,Not sexual assault,59,50,60,69
58,17D,Sexual Assault Acts — Touching someone’s face without their consent,Do you think that the following acts are or are not sexual assault?,Not sure,23,28,25,15
58,17D,Sexual Assault Acts — Touching someone’s face without their consent,Do you think that the following acts are or are not sexual assault?,Totals,100,101,101,99
59,18A,Sexual Assault Crimes — Touching someone’s genitals without their consent,Do you think that the following acts should or should not be considered a crime?,Crime,93,94,94,92
59,18A,Sexual Assault Crimes — Touching someone’s genitals without their consent,Do you think that the following acts should or should not be considered a crime?,Not a crime,2,4,1,2
59,18A,Sexual Assault Crimes — Touching someone’s genitals without their consent,Do you think that the following acts should or should not be considered a crime?,Not sure,4,2,5,6
59,18A,Sexual Assault Crimes — Touching someone’s genitals without their consent,Do you think that the following acts should or should not be considered a crime?,Totals,99,100,100,100
60,18B,Sexual Assault Crimes — Kissing someone without their consent,Do you think that the following acts should or should not be considered a crime?,Crime,50,59,49,40
60,18B,Sexual Assault Crimes — Kissing someone without their consent,Do you think that the following acts should or should not be considered a crime?,Not a crime,32,25,30,41
60,18B,Sexual Assault Crimes — Kissing someone without their consent,Do you think that the following acts should or should not be considered a crime?,Not sure,19,16,21,19
60,18B,Sexual Assault Crimes — Kissing someone without their consent,Do you think that the following acts should or should not be considered a crime?,Totals,101,100,100,100
61,18C,Sexual Assault Crimes — Touching someone’s legs or arms without their consent,Do you think that the following acts should or should not be considered a crime?,Crime,23,33,21,17
61,18C,Sexual Assault Crimes — Touching someone’s legs or arms without their consent,Do you think that the following acts should or should not be considered a crime?,Not a crime,55,45,56,65
61,18C,Sexual Assault Crimes — Touching someone’s legs or arms without their consent,Do you think that the following acts should or should not be considered a crime?,Not sure,21,22,23,18
61,18C,Sexual Assault Crimes — Touching someone’s legs or arms without their consent,Do you think that the following acts should or should not be considered a crime?,Totals,99,100,100,100
62,18D,Sexual Assault Crimes — Touching someone’s face without their consent,Do you think that the following acts should or should not be considered a crime?,Crime,14,21,14,8
62,18D,Sexual Assault Crimes — Touching someone’s face without their consent,Do you think that the following acts should or should not be considered a crime?,Not a crime,66,58,65,76
62,18D,Sexual Assault Crimes — Touching someone’s face without their consent,Do you think that the following acts should or should not be considered a crime?,Not sure,20,22,22,16
62,18D,Sexual Assault Crimes — Touching someone’s face without their consent,Do you think that the following acts should or should not be considered a crime?,Totals,100,101,101,100
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Very favorable,22,40,19,7
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Somewhat favorable,30,32,27,31
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Somewhat unfavorable,12,7,11,19
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Very unfavorable,11,4,10,20
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Not sure,25,18,32,24
63,19,#MeToo Favorability,Do you have a favorable or an unfavorable view of the #MeToo movement against sexual harassment?,Totals,100,101,99,101
64,20,#MeToo Movement Gone Too Far,Do you think the #MeToo movement against sexual harassment:,Has gone too far,22,7,23,37
64,20,#MeToo Movement Gone Too Far,Do you think the #MeToo movement against sexual harassment:,Has been about right,34,47,29,27
64,20,#MeToo Movement Gone Too Far,Do you think the #MeToo movement against sexual harassment:,Has not gone far enough,16,25,12,11
64,20,#MeToo Movement Gone Too Far,Do you think the #MeToo movement against sexual harassment:,Not sure,28,22,36,26
64,20,#MeToo Movement Gone Too Far,Do you think the #MeToo movement against sexual harassment:,Totals,100,101,100,101
65,21,#MeToo Movement Affected You Personally,"How would you say the #MeToo movement has affected you personally, if at all?",Had a positive effect,15,24,10,10
65,21,#MeToo Movement Affected You Personally,"How would you say the #MeToo movement has affected you personally, if at all?",Had a negative effect,4,2,3,7
65,21,#MeToo Movement Affected You Personally,"How would you say the #MeToo movement has affected you personally, if at all?",effect either way,63,60,64,66
65,21,#MeToo Movement Affected You Personally,"How would you say the #MeToo movement has affected you personally, if at all?",Not sure,18,14,24,17
65,21,#MeToo Movement Affected You Personally,"How would you say the #MeToo movement has affected you personally, if at all?",Totals,100,100,101,100
